Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
97,0.145315559,0,0.200962735,0.147478686,0,0.452177147,0.097742575,0.177935926,0,0,0,0.027910204,0.047394711,0.208618523,0.094625059,0.273103476,0,0.002725238,0,0.128970213,0,0,0.016,0.233256976,0.988790093,2.004960051
98,0,0.396318766,0.455300627,0,0.003993517,0.244882573,0.070072602,0,0,0,0.105114318,0,0.034694494,0.375401475,0,0.233865589,0,0.016736795,0,0.055149811,0.042267169,0,0,0.471485969,0.882038645,2.033797736
99,0.264628362,0,0.185860837,0.584231027,0,0.006634106,0.378112117,0.28116025,0.144021888,0,0.106956911,0,0.113959275,0.469318577,0.025704143,0.268101272,0,0,0,0.361221598,0.038099743,0,0.014,0.287272196,0.965696265,3.228010108
100,0,0.620389003,0,0,0.08462212,0.54881542,0,0,0,0,0.08781971,0,0.265784828,0.308820551,0,0,0,0,0,0.771067184,0,0,0.616,0.005737356,1.10893232,2.687318816
101,0.102926956,0,0.343745431,0,0.020788647,0.331852905,0.272714642,0,0,0,0.085429824,0,0.036234473,0.12269708,0,0.121504008,0,0,0,0.071459017,0,0,0.03,0.190666096,1.015346048,1.509352983
102,0.481258275,0.827750275,0.515992417,0,0,0.933523822,0.080079832,0.057311422,0,0,0.202655192,0,0.14065063,0.271750594,0,0.242726367,0,0.005915567,0,0.282502952,0.032410347,0,0,0.531369727,0.846921241,4.074527692
103,0.121233417,0,0.278315807,0,0,0.452092034,0.108663498,0,0,0,0.161380987,0,0.071490553,0.147039172,0.007600112,0.090083075,0,0,0,0.254798365,0.004113923,0,0.016,0.222746621,0.998032286,1.696810944
104,0.433137196,0.821530924,0.067394994,0.242549275,0,0.881576044,0.001812438,0.331795184,0,0,0.012613286,0.071811618,0.162497824,0.118272318,0.029446192,0.213222993,0,0.02465118,0.173739051,0.140257297,0.02587613,0,0.002,0.446331004,0.89474588,3.752183941
105,0.379363046,0.198377473,0.052632383,0.093704046,0.127954585,0.440049517,0.221141499,0,0,0,0,0.009193466,0.009762466,0.072090108,0.028217898,0.18195343,0.050882696,0,0,0.069077536,0.032068226,0,0.004,0.375929175,0.929875009,1.966468375
106,0.18677935,0,0.369548432,0,0,0.237002188,0.04815951,0,0,0,0.069521603,0,0,0.336240137,0,0.097250754,0,0.014116068,0,0.178447935,0,0,0.204,0.0820634,1.082214451,1.537065978
107,0.039044631,0,0.521204083,0,0.003516195,0.405627881,0,0,0,0,0.136525584,0,0.000620706,0.480100291,0,0.136642305,0,0.111904714,0,0.349832074,0.094353055,0,0.008,0.325590432,0.955738344,2.279371517
108,0.167282979,0,0.517164482,0,0,0.306538335,0.208009166,0.008975847,0,0,0.139156706,0,0,0.792734768,0,0.061245366,0,0,0,0.158948614,0.000584901,0,0.004,0.37570733,0.934849961,2.360641165
109,0.005295728,0.183668522,0.127057621,0.081837223,0,0.614419492,0.170780898,0.130481907,0,0,0.121846308,0,0.087297731,0.191861339,0.12781103,0.174855619,0,0.147970722,0,0.244424789,0.202047061,0.028530545,0.018,0.21426345,0.991584354,2.640186536
110,0,0.458831717,0.050830254,0.140627905,0,0.784459028,0.091347662,0.033701798,0,0,0,0.052128286,0.172191491,0.011592339,0.03164007,0.21029071,0.118629288,0.047623767,0.227883529,0,0,0,0.008,0.318628393,0.951775568,2.431777843
111,0.342330954,0,0.124770508,0.312163924,0,0.456317693,0.292353788,0,0,0,0.215823619,0,0.16920156,0.104260133,0.081775979,0.050389583,0,0.005613092,0,0.070310809,0.057662998,0,0.012,0.299123536,0.963830685,2.282974641
112,0.554284566,0,0.369359925,0,0,0.737385917,0.195630272,0.037006341,0,0,0.160778902,0,0.126974736,0.459475302,0.029211696,0.074215024,0.011855029,0.007139291,0.13553345,0,0.061231244,0,0,0.460903874,0.887197019,2.960081695
113,0,0.292832653,0.099259686,0.024925479,0.047394954,0.364160712,0.047455992,0,0,0,0.055746189,0,0.08058834,0.146740182,0,0.398786072,0.005183878,0.026401447,0.05208559,0.023881142,0.109945934,0,0.148,0.098917415,1.037323849,1.775388251
114,0.087544959,0.187742508,0.194344328,0,0,0.779281727,0.018977876,0,0,0,0.029487907,0.074154912,0,0.329404504,0,0.327214483,0,0.069543602,0.085190203,0,0.058619782,0,0.008,0.327228486,0.949030267,2.24150679
115,0.078494422,0,0.577924572,0,0,0.294397299,0.006933092,0,0.047042002,0,0.070544633,0,0,0.532781353,0,0.15908311,0,0,0,0.074391185,0,0,0.002,0.424147387,0.913226917,1.84159167
116,0.083213618,0,0.326495743,0,0,0.723778203,0.237831609,0.059544064,0,0,0.121870347,0,0.006496502,0.228622561,0.018129981,0.151379579,0,0,0,0.210108627,0.051157199,0,0.016,0.250729693,0.983575775,2.218628032
